iter	Passed	Remaining
0	2	214
1	4	197
2	5	190
3	7	179
4	9	182
5	11	180
6	13	179
7	15	179
8	17	179
9	19	179
10	21	177
11	23	175
12	25	173
13	28	172
14	30	170
15	32	168
16	34	166
17	36	164
18	38	162
19	40	160
20	42	158
21	44	156
22	46	154
23	47	151
24	50	150
25	51	147
26	53	145
27	56	144
28	58	143
29	60	141
30	62	139
31	64	137
32	66	135
33	68	133
34	71	131
35	73	129
36	75	127
37	76	125
38	79	123
39	80	121
40	82	119
41	83	115
42	85	113
43	87	111
44	89	109
45	91	107
46	93	105
47	95	103
48	97	100
49	98	98
50	101	97
51	103	95
52	105	93
53	107	91
54	108	88
55	110	87
56	112	85
57	114	83
58	116	81
59	118	79
60	120	77
61	122	75
62	125	73
63	127	71
64	129	69
65	130	67
66	132	65
67	134	63
68	136	61
69	138	59
70	140	57
71	142	55
72	144	53
73	146	51
74	148	49
75	150	47
76	152	45
77	154	43
78	156	41
79	158	39
80	160	37
81	162	35
82	164	33
83	166	31
84	168	29
85	170	27
86	172	25
87	174	23
88	176	21
89	178	19
90	180	17
91	182	15
92	184	13
93	186	11
94	188	9
95	190	7
96	192	5
97	194	3
98	196	1
99	198	0
