iter	Passed	Remaining
0	131	131532
1	133	66537
2	135	44911
3	136	34025
4	138	27512
5	139	23146
6	141	20060
7	143	17741
8	144	15916
9	145	14449
10	147	13246
11	149	12273
12	150	11459
13	152	10753
14	154	10124
15	155	9570
16	157	9093
17	158	8665
18	160	8293
19	162	7970
20	164	7664
21	166	7382
22	167	7126
23	169	6895
24	171	6706
25	173	6506
26	175	6313
27	176	6132
28	178	5967
29	180	5820
30	181	5681
31	183	5549
32	185	5425
33	186	5308
34	188	5199
35	190	5100
36	192	5006
37	193	4911
38	195	4825
39	197	4740
40	199	4657
41	200	4582
42	202	4515
43	204	4444
44	206	4379
45	208	4316
46	209	4257
47	211	4197
48	213	4141
49	215	4091
50	217	4039
51	219	3995
52	221	3949
53	222	3904
54	224	3863
55	226	3821
56	228	3779
57	230	3742
58	232	3705
59	234	3666
60	235	3630
61	238	3600
62	239	3567
63	241	3534
64	244	3511
65	246	3483
66	247	3453
67	249	3423
68	251	3395
69	253	3366
70	255	3343
71	257	3321
72	259	3300
73	261	3275
74	263	3252
75	265	3233
76	267	3210
77	269	3188
78	271	3166
79	273	3146
80	275	3126
81	277	3107
82	278	3078
83	280	3058
84	282	3038
85	284	3019
86	285	2999
87	287	2982
88	289	2964
89	291	2946
90	293	2927
91	295	2912
92	296	2895
93	298	2877
94	300	2860
95	302	2849
96	304	2833
97	306	2817
98	307	2801
99	309	2787
100	311	2773
101	313	2756
102	314	2740
103	316	2728
104	318	2715
105	320	2702
106	322	2692
107	324	2681
108	326	2669
109	328	2657
110	330	2645
111	332	2634
112	334	2623
113	336	2612
114	337	2600
115	339	2587
116	341	2574
117	343	2566
118	345	2556
119	347	2547
120	349	2539
121	351	2529
122	353	2520
123	355	2512
124	357	2502
125	359	2494
126	361	2483
127	363	2474
128	365	2466
129	367	2458
130	369	2449
131	371	2440
132	372	2430
133	374	2421
134	376	2413
135	378	2406
136	380	2397
137	382	2388
138	384	2380
139	386	2371
140	388	2364
141	389	2353
142	391	2345
143	393	2341
144	395	2333
145	397	2325
146	399	2318
147	401	2310
148	403	2303
149	405	2297
150	407	2290
151	409	2283
152	410	2274
153	412	2268
154	414	2261
155	416	2254
156	419	2249
157	421	2244
158	423	2239
159	425	2232
160	426	2221
161	427	2213
162	429	2205
163	431	2198
164	432	2190
165	434	2183
166	436	2179
167	438	2172
168	440	2166
169	442	2160
170	444	2155
171	446	2148
172	448	2142
173	450	2137
174	452	2131
175	453	2125
176	455	2118
177	457	2112
178	459	2106
179	460	2099
180	462	2093
181	464	2088
182	466	2083
183	468	2078
184	470	2073
185	472	2067
186	474	2062
187	476	2056
188	477	2050
189	479	2045
190	481	2039
191	483	2033
192	485	2029
193	487	2024
194	489	2019
195	491	2014
196	492	2008
197	494	2003
198	496	1998
199	498	1993
200	500	1990
201	502	1986
202	504	1982
203	507	1978
204	508	1973
205	510	1969
206	512	1964
207	514	1960
208	516	1954
209	518	1949
210	520	1945
211	522	1941
212	524	1936
213	527	1935
214	529	1931
215	531	1927
216	532	1923
217	535	1919
218	536	1914
219	538	1910
220	540	1906
221	543	1903
222	545	1899
223	546	1894
224	549	1891
225	550	1886
226	552	1882
227	555	1879
228	557	1875
229	559	1872
230	560	1867
231	562	1863
232	564	1859
233	566	1855
234	568	1850
235	570	1845
236	572	1841
237	574	1838
238	576	1834
239	578	1830
240	579	1826
241	581	1822
242	583	1819
243	586	1815
244	588	1812
245	589	1807
246	591	1804
247	593	1800
248	595	1796
249	597	1792
250	599	1787
251	601	1784
252	603	1780
253	605	1777
254	607	1773
255	609	1770
256	610	1766
257	613	1763
258	615	1760
259	617	1756
260	618	1752
261	621	1749
262	623	1746
263	625	1742
264	626	1738
265	628	1734
266	631	1732
267	633	1728
268	634	1725
269	636	1721
270	638	1718
271	640	1714
272	642	1710
273	644	1707
274	646	1703
275	648	1700
276	650	1696
277	652	1693
278	654	1690
279	655	1686
280	657	1682
281	659	1679
282	661	1676
283	663	1672
284	665	1669
285	667	1665
286	669	1662
287	670	1658
288	672	1654
289	674	1651
290	676	1647
291	677	1643
292	679	1640
293	681	1636
294	683	1632
295	685	1629
296	687	1626
297	689	1623
298	691	1620
299	693	1617
300	695	1615
301	697	1612
302	700	1610
303	701	1607
304	703	1604
305	705	1600
306	707	1596
307	709	1593
308	710	1589
309	712	1586
310	714	1583
311	716	1580
312	718	1577
313	720	1574
314	722	1571
315	724	1568
316	726	1565
317	728	1562
318	730	1559
319	732	1557
320	734	1554
321	736	1551
322	738	1548
323	740	1545
324	742	1542
325	744	1538
326	746	1535
327	748	1532
328	750	1529
329	752	1526
330	753	1523
331	755	1521
332	757	1518
333	759	1515
334	761	1512
335	763	1509
336	766	1507
337	768	1504
338	770	1501
339	772	1498
340	773	1495
341	775	1492
342	777	1488
343	779	1485
344	781	1483
345	783	1480
346	785	1477
347	787	1474
348	788	1471
349	790	1468
350	792	1465
351	794	1462
352	796	1459
353	798	1457
354	800	1455
355	802	1452
356	804	1449
357	806	1446
358	808	1442
359	809	1439
360	811	1437
361	813	1434
362	815	1431
363	817	1428
364	819	1425
365	821	1423
366	823	1421
367	826	1418
368	828	1416
369	830	1413
370	832	1411
371	834	1408
372	836	1405
373	838	1403
374	840	1401
375	842	1398
376	843	1394
377	845	1391
378	847	1388
379	849	1385
380	851	1382
381	853	1380
382	854	1377
383	856	1374
384	858	1371
385	860	1368
386	862	1365
387	864	1362
388	865	1359
389	867	1356
390	869	1355
391	871	1352
392	873	1349
393	875	1346
394	877	1344
395	879	1341
396	881	1338
397	883	1336
398	885	1333
399	886	1330
400	888	1327
401	890	1324
402	891	1320
403	893	1318
404	895	1316
405	897	1313
406	899	1310
407	901	1307
408	903	1305
409	905	1302
410	907	1301
411	909	1298
412	911	1295
413	913	1293
414	915	1290
415	917	1288
416	919	1285
417	921	1282
418	923	1280
419	925	1277
420	927	1275
421	929	1273
422	932	1271
423	934	1269
424	936	1267
425	938	1264
426	940	1261
427	942	1259
428	944	1257
429	946	1255
430	948	1252
431	950	1249
432	952	1247
433	954	1244
434	955	1241
435	957	1238
436	959	1236
437	962	1234
438	964	1232
439	965	1229
440	967	1226
441	969	1224
442	971	1221
443	973	1218
444	975	1216
445	977	1214
446	979	1211
447	981	1209
448	983	1207
449	985	1204
450	987	1201
451	989	1200
452	991	1197
453	993	1195
454	995	1192
455	997	1190
456	999	1187
457	1001	1185
458	1003	1182
459	1005	1180
460	1007	1177
461	1009	1175
462	1011	1172
463	1013	1170
464	1015	1168
465	1017	1166
466	1019	1163
467	1021	1161
468	1023	1158
469	1025	1156
470	1027	1153
471	1029	1151
472	1031	1149
473	1033	1146
474	1035	1144
475	1037	1141
476	1039	1139
477	1040	1136
478	1042	1134
479	1045	1132
480	1046	1129
481	1048	1127
482	1050	1124
483	1052	1122
484	1055	1120
485	1057	1118
486	1059	1115
487	1061	1113
488	1063	1111
489	1065	1108
490	1066	1105
491	1068	1103
492	1070	1100
493	1072	1098
494	1074	1096
495	1076	1094
496	1078	1091
497	1080	1089
498	1082	1087
499	1084	1084
500	1086	1082
501	1088	1079
502	1090	1077
503	1093	1075
504	1095	1073
505	1096	1070
506	1099	1068
507	1101	1066
508	1102	1063
509	1104	1061
510	1106	1058
511	1108	1056
512	1110	1054
513	1112	1051
514	1115	1050
515	1117	1048
516	1119	1046
517	1122	1044
518	1124	1041
519	1126	1039
520	1128	1037
521	1130	1034
522	1131	1032
523	1133	1029
524	1135	1027
525	1137	1025
526	1139	1022
527	1142	1021
528	1144	1018
529	1146	1016
530	1147	1013
531	1149	1011
532	1151	1009
533	1154	1007
534	1156	1004
535	1158	1002
536	1160	1000
537	1161	997
538	1163	995
539	1165	992
540	1167	990
541	1169	987
542	1170	985
543	1172	983
544	1174	980
545	1175	977
546	1177	975
547	1179	972
548	1182	971
549	1184	969
550	1186	966
551	1188	964
552	1190	962
553	1192	960
554	1195	958
555	1197	956
556	1199	953
557	1201	951
558	1203	949
559	1204	946
560	1206	944
561	1208	942
562	1210	939
563	1215	939
564	1217	937
565	1219	935
566	1221	932
567	1223	930
568	1225	928
569	1228	926
570	1230	924
571	1232	922
572	1234	919
573	1236	917
574	1237	914
575	1239	912
576	1242	910
577	1244	908
578	1246	906
579	1248	903
580	1250	901
581	1252	899
582	1253	896
583	1256	894
584	1258	892
585	1259	890
586	1261	887
587	1263	885
588	1265	882
589	1266	880
590	1268	877
591	1270	875
592	1272	873
593	1274	871
594	1276	868
595	1278	866
596	1280	864
597	1281	861
598	1283	859
599	1285	857
600	1287	854
601	1289	852
602	1291	850
603	1293	847
604	1295	845
605	1296	843
606	1298	840
607	1300	838
608	1302	836
609	1304	834
610	1306	831
611	1308	829
612	1310	827
613	1312	825
614	1314	822
615	1316	820
616	1318	818
617	1320	816
618	1322	813
619	1323	811
620	1325	809
621	1327	806
622	1329	804
623	1331	802
624	1333	799
625	1334	797
626	1336	795
627	1338	792
628	1340	790
629	1341	788
630	1343	785
631	1345	783
632	1347	781
633	1349	779
634	1351	776
635	1353	774
636	1354	772
637	1356	769
638	1358	767
639	1360	765
640	1362	763
641	1364	760
642	1366	758
643	1367	756
644	1369	753
645	1371	751
646	1373	749
647	1375	747
648	1377	744
649	1378	742
650	1380	740
651	1382	737
652	1384	735
653	1386	733
654	1388	731
655	1390	728
656	1391	726
657	1393	724
658	1395	721
659	1397	719
660	1398	717
661	1400	715
662	1402	712
663	1404	710
664	1406	708
665	1408	706
666	1409	703
667	1411	701
668	1413	699
669	1415	697
670	1417	694
671	1418	692
672	1420	690
673	1422	688
674	1424	685
675	1426	683
676	1428	681
677	1430	679
678	1432	677
679	1434	674
680	1436	672
681	1438	670
682	1440	668
683	1441	666
684	1443	664
685	1445	661
686	1447	659
687	1449	657
688	1451	655
689	1453	652
690	1455	650
691	1457	648
692	1458	646
693	1460	644
694	1462	641
695	1464	639
696	1466	637
697	1468	635
698	1469	632
699	1471	630
700	1473	628
701	1475	626
702	1477	624
703	1478	621
704	1480	619
705	1483	617
706	1484	615
707	1486	613
708	1488	611
709	1490	608
710	1492	606
711	1494	604
712	1496	602
713	1498	600
714	1500	598
715	1502	596
716	1504	593
717	1506	591
718	1508	589
719	1510	587
720	1512	585
721	1514	583
722	1516	581
723	1518	578
724	1520	576
725	1522	574
726	1524	572
727	1526	570
728	1528	568
729	1530	566
730	1532	564
731	1534	561
732	1536	559
733	1538	557
734	1540	555
735	1542	553
736	1544	551
737	1546	549
738	1548	547
739	1550	544
740	1552	542
741	1554	540
742	1556	538
743	1558	536
744	1560	534
745	1562	532
746	1564	529
747	1566	527
748	1568	525
749	1570	523
750	1572	521
751	1574	519
752	1576	517
753	1578	515
754	1580	512
755	1582	510
756	1584	508
757	1586	506
758	1588	504
759	1590	502
760	1592	500
761	1594	497
762	1596	495
763	1598	493
764	1600	491
765	1602	489
766	1604	487
767	1606	485
768	1608	483
769	1611	481
770	1613	479
771	1615	477
772	1617	474
773	1619	472
774	1621	470
775	1622	468
776	1624	466
777	1626	464
778	1628	462
779	1630	459
780	1633	457
781	1635	455
782	1637	453
783	1639	451
784	1641	449
785	1642	447
786	1644	445
787	1647	443
788	1649	441
789	1651	438
790	1653	436
791	1655	434
792	1657	432
793	1659	430
794	1661	428
795	1663	426
796	1665	424
797	1667	422
798	1669	419
799	1671	417
800	1672	415
801	1675	413
802	1677	411
803	1679	409
804	1681	407
805	1683	405
806	1685	403
807	1686	400
808	1688	398
809	1691	396
810	1692	394
811	1694	392
812	1697	390
813	1698	388
814	1700	386
815	1702	383
816	1704	381
817	1706	379
818	1708	377
819	1710	375
820	1712	373
821	1714	371
822	1716	369
823	1717	366
824	1719	364
825	1721	362
826	1723	360
827	1725	358
828	1727	356
829	1728	354
830	1730	351
831	1732	349
832	1734	347
833	1737	345
834	1739	343
835	1741	341
836	1743	339
837	1744	337
838	1746	335
839	1748	333
840	1750	330
841	1752	328
842	1754	326
843	1756	324
844	1758	322
845	1760	320
846	1762	318
847	1764	316
848	1766	314
849	1768	312
850	1770	309
851	1772	307
852	1774	305
853	1776	303
854	1778	301
855	1780	299
856	1782	297
857	1784	295
858	1786	293
859	1788	291
860	1790	289
861	1792	286
862	1794	284
863	1796	282
864	1798	280
865	1800	278
866	1801	276
867	1803	274
868	1805	272
869	1807	270
870	1809	267
871	1810	265
872	1812	263
873	1814	261
874	1816	259
875	1818	257
876	1819	255
877	1821	253
878	1823	251
879	1825	248
880	1827	246
881	1829	244
882	1831	242
883	1833	240
884	1834	238
885	1836	236
886	1838	234
887	1840	232
888	1842	229
889	1843	227
890	1845	225
891	1847	223
892	1849	221
893	1851	219
894	1853	217
895	1854	215
896	1856	213
897	1858	211
898	1860	208
899	1861	206
900	1863	204
901	1865	202
902	1867	200
903	1869	198
904	1870	196
905	1872	194
906	1874	192
907	1876	190
908	1878	188
909	1879	185
910	1881	183
911	1884	181
912	1886	179
913	1888	177
914	1890	175
915	1892	173
916	1894	171
917	1896	169
918	1898	167
919	1900	165
920	1902	163
921	1903	161
922	1905	158
923	1907	156
924	1908	154
925	1910	152
926	1912	150
927	1914	148
928	1916	146
929	1918	144
930	1921	142
931	1923	140
932	1925	138
933	1927	136
934	1928	134
935	1930	132
936	1932	129
937	1934	127
938	1936	125
939	1938	123
940	1940	121
941	1942	119
942	1944	117
943	1946	115
944	1948	113
945	1950	111
946	1952	109
947	1954	107
948	1955	105
949	1957	103
950	1960	100
951	1962	98
952	1963	96
953	1965	94
954	1967	92
955	1969	90
956	1970	88
957	1972	86
958	1974	84
959	1976	82
960	1979	80
961	1981	78
962	1983	76
963	1985	74
964	1987	72
965	1989	70
966	1990	67
967	1992	65
968	1994	63
969	1996	61
970	1997	59
971	1999	57
972	2001	55
973	2003	53
974	2005	51
975	2007	49
976	2009	47
977	2011	45
978	2012	43
979	2014	41
980	2016	39
981	2018	36
982	2020	34
983	2021	32
984	2024	30
985	2025	28
986	2027	26
987	2029	24
988	2031	22
989	2033	20
990	2035	18
991	2036	16
992	2038	14
993	2040	12
994	2042	10
995	2044	8
996	2046	6
997	2047	4
998	2049	2
999	2051	0
